"ID,N,9,0","OBJECTID,N,10,0","LSOA_CODE,C,254","LSOA_NAME,C,254","LA_CODE,C,254","LA_NAME,C,254","MSOA_CODE,C,254","MSOA_NAME,C,254","GOR_NAME,C,254","GOR_CODE,C,254","GLOUCEST_1,N,10,0","CFSL,N,9,0,N,10,0","PRIOL,N,9,,N,10,0","L_GL_OSVI_,N,10,0","RankColL,C,254","RankNumL,N,10,0","L_OSVI_Adj,N,10,0","RankColAdj,C,254","RankNumAdj,N,10,0","PRION,N,9,,N,10,0","CFSN,N,9,0,N,10,0","N_GL_OSV_1,N,10,0","RankColN,C,254","RankNumN,N,10,0","N_OSVI_Adj,N,10,0","RankColA_1,C,254","RankNumA_1,N,10,0"
1,22164,E01022100,Cheltenham 008A,E07000078,Cheltenham,E02004607,Cheltenham 008,South West,E12000009,11,0,0,13,Green,1,7,Green,1,0,0,11,Green,1,3,Green,1
2,22165,E01022101,Cheltenham 008B,E07000078,Cheltenham,E02004607,Cheltenham 008,South West,E12000009,10,0,0,16,Yellow,2,10,Yellow,2,0,0,10,Green,1,2,Green,1
3,22166,E01022102,Cheltenham 008C,E07000078,Cheltenham,E02004607,Cheltenham 008,South West,E12000009,12,0,0,21,Orange,3,15,Orange,3,0,0,12,Green,1,4,Green,1
4,22167,E01022103,Cheltenham 012A,E07000078,Cheltenham,E02004611,Cheltenham 012,South West,E12000009,9,0,0,15,Green,1,9,Yellow,2,0,0,9,Green,1,1,Green,1
5,22168,E01022104,Cheltenham 012B,E07000078,Cheltenham,E02004611,Cheltenham 012,South West,E12000009,13,0,0,20,Orange,3,14,Yellow,2,0,0,13,Yellow,2,5,Green,1
6,22169,E01022105,Cheltenham 012C,E07000078,Cheltenham,E02004611,Cheltenham 012,South West,E12000009,11,1,1,13,Green,1,7,Green,1,1,1,11,Green,1,3,Green,1
7,22170,E01022106,Cheltenham 010A,E07000078,Cheltenham,E02004609,Cheltenham 010,South West,E12000009,9,1,1,14,Green,1,8,Yellow,2,1,1,9,Green,1,1,Green,1
8,22171,E01022107,Cheltenham 010B,E07000078,Cheltenham,E02004609,Cheltenham 010,South West,E12000009,13,1,1,17,Yellow,2,11,Yellow,2,1,1,13,Yellow,2,5,Green,1
9,22172,E01022108,Cheltenham 010C,E07000078,Cheltenham,E02004609,Cheltenham 010,South West,E12000009,12,1,1,14,Green,1,8,Yellow,2,1,1,12,Green,1,4,Green,1
10,22173,E01022109,Cheltenham 012D,E07000078,Cheltenham,E02004611,Cheltenham 012,South West,E12000009,10,1,1,15,Green,1,9,Yellow,2,1,1,10,Green,1,2,Green,1
11,22174,E01022110,Cheltenham 012E,E07000078,Cheltenham,E02004611,Cheltenham 012,South West,E12000009,12,1,1,20,Orange,3,14,Yellow,2,1,1,12,Green,1,4,Green,1
12,22175,E01022111,Cheltenham 012F,E07000078,Cheltenham,E02004611,Cheltenham 012,South West,E12000009,16,1,1,17,Yellow,2,11,Yellow,2,1,1,16,Orange,3,8,Yellow,2
13,22176,E01022112,Cheltenham 012G,E07000078,Cheltenham,E02004611,Cheltenham 012,South West,E12000009,14,1,1,18,Yellow,2,12,Yellow,2,1,1,14,Yellow,2,6,Green,1
14,22177,E01022113,Cheltenham 014A,E07000078,Cheltenham,E02004613,Cheltenham 014,South West,E12000009,12,1,1,15,Green,1,9,Yellow,2,1,1,12,Green,1,4,Green,1
15,22178,E01022114,Cheltenham 014B,E07000078,Cheltenham,E02004613,Cheltenham 014,South West,E12000009,13,1,1,19,Yellow,2,13,Yellow,2,1,1,13,Yellow,2,5,Green,1
16,22179,E01022115,Cheltenham 014C,E07000078,Cheltenham,E02004613,Cheltenham 014,South West,E12000009,13,2,1,17,Yellow,2,11,Yellow,2,1,2,13,Yellow,2,5,Green,1
17,22180,E01022116,Cheltenham 009A,E07000078,Cheltenham,E02004608,Cheltenham 009,South West,E12000009,12,1,0,17,Yellow,2,11,Yellow,2,0,1,12,Green,1,4,Green,1
18,22181,E01022117,Cheltenham 009B,E07000078,Cheltenham,E02004608,Cheltenham 009,South West,E12000009,13,1,1,19,Yellow,2,13,Yellow,2,1,1,13,Yellow,2,5,Green,1
19,22182,E01022118,Cheltenham 014D,E07000078,Cheltenham,E02004613,Cheltenham 014,South West,E12000009,11,0,0,14,Green,1,8,Yellow,2,0,0,11,Green,1,3,Green,1
20,22183,E01022119,Cheltenham 009C,E07000078,Cheltenham,E02004608,Cheltenham 009,South West,E12000009,10,0,0,15,Green,1,9,Yellow,2,0,0,10,Green,1,2,Green,1
21,22184,E01022120,Cheltenham 005A,E07000078,Cheltenham,E02004604,Cheltenham 005,South West,E12000009,23,1,1,32,Red,4,26,Red,4,1,1,23,Red,4,15,Orange,3
22,22185,E01022121,Cheltenham 005B,E07000078,Cheltenham,E02004604,Cheltenham 005,South West,E12000009,23,1,1,32,Red,4,26,Red,4,1,1,23,Red,4,15,Orange,3
23,22186,E01022122,Cheltenham 003A,E07000078,Cheltenham,E02004602,Cheltenham 003,South West,E12000009,25,1,1,35,Red,4,29,Red,4,1,1,25,Red,4,17,Orange,3
24,22187,E01022123,Cheltenham 010D,E07000078,Cheltenham,E02004609,Cheltenham 010,South West,E12000009,12,0,0,18,Yellow,2,12,Yellow,2,0,0,12,Green,1,4,Green,1
25,22188,E01022124,Cheltenham 009D,E07000078,Cheltenham,E02004608,Cheltenham 009,South West,E12000009,16,2,2,25,Orange,3,19,Orange,3,2,2,16,Orange,3,8,Yellow,2
26,22189,E01022125,Cheltenham 009E,E07000078,Cheltenham,E02004608,Cheltenham 009,South West,E12000009,14,1,1,20,Orange,3,14,Yellow,2,1,1,14,Yellow,2,6,Green,1
27,22190,E01022126,Cheltenham 009F,E07000078,Cheltenham,E02004608,Cheltenham 009,South West,E12000009,12,0,0,16,Yellow,2,10,Yellow,2,0,0,12,Green,1,4,Green,1
28,22191,E01022127,Cheltenham 009G,E07000078,Cheltenham,E02004608,Cheltenham 009,South West,E12000009,14,1,0,16,Yellow,2,10,Yellow,2,0,1,14,Yellow,2,6,Green,1
29,22192,E01022128,Cheltenham 015A,E07000078,Cheltenham,E02004614,Cheltenham 015,South West,E12000009,10,1,1,12,Green,1,6,Green,1,1,1,10,Green,1,2,Green,1
